날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2021-01-01,119,-4.6,-10.4,0
2021-01-02,119,-4.5,-8.4,-0.8
2021-01-03,119,-5.5,-10.1,-0.4
2021-01-04,119,-3.6,-10.4,0.6
2021-01-05,119,-4.9,-9.3,-0.8
2021-01-06,119,-7.2,-12.4,-1.9
2021-01-07,119,-13.8,-15.9,-8.3
2021-01-08,119,-14.4,-18.4,-10.7
2021-01-09,119,-12.7,-18.6,-7.7
2021-01-10,119,-8.9,-16.8,-2.7
2021-01-11,119,-7.6,-12.5,-3.6
2021-01-12,119,-3.9,-11,0.7
2021-01-13,119,1.7,-4.9,8.7
2021-01-14,119,1.5,-5.3,7.6
2021-01-15,119,4,-1.6,11.3
2021-01-16,119,-4.2,-7.3,-0.7
2021-01-17,119,-5.3,-11.1,-1.4
2021-01-18,119,-3.2,-8.2,1.6
2021-01-19,119,-6.6,-12.1,-0.5
2021-01-20,119,-0.4,-8.6,7.4
2021-01-21,119,4.5,-0.2,8.3
2021-01-22,119,5.7,3.9,7.5
2021-01-23,119,7.9,1.9,12.1
2021-01-24,119,6.9,1.3,13.1
2021-01-25,119,6.9,0.6,14.2
2021-01-26,119,4.2,1,6.6
2021-01-27,119,1.5,-2.4,6.2
2021-01-28,119,-2.6,-8.6,1.6
2021-01-29,119,-8.1,-11,-4.6
2021-01-30,119,-0.8,-8.4,6.6
2021-01-31,119,3.6,-5.8,10.5
2021-02-01,119,5,-1.3,9.9
2021-02-02,119,-4.8,-6.9,-1.2
2021-02-03,119,-3.2,-10.3,1.7
2021-02-04,119,-3.8,-8,0.8
2021-02-05,119,0.5,-6.4,6.6
2021-02-06,119,6.1,0.8,10.2
2021-02-07,119,3.2,-2.2,7.2
2021-02-08,119,-2.6,-4.6,0.6
2021-02-09,119,-1.3,-7.4,4
2021-02-10,119,2.3,-3.4,7.4
2021-02-11,119,4,-1.3,11.3
2021-02-12,119,4.9,-1.6,14.1
2021-02-13,119,4.9,-3.2,15.7
2021-02-14,119,8.1,2.4,14
2021-02-15,119,1,-4.1,6.6
2021-02-16,119,-4.8,-6.7,-2.5
2021-02-17,119,-7.9,-9.8,-5
2021-02-18,119,-5.5,-9.9,-0.8
2021-02-19,119,1.4,-8.1,9.3
2021-02-20,119,7,0,14.4
2021-02-21,119,10.8,1.7,18.5
2021-02-22,119,6.6,0.6,12.7
2021-02-23,119,0.2,-2.5,4.1
2021-02-24,119,2.1,-2.1,10.2
2021-02-25,119,3.4,-2.2,8.6
2021-02-26,119,8.1,-1.3,15.6
2021-02-27,119,8.8,3.5,14.6
2021-02-28,119,7.3,0.9,10.7
2021-03-01,119,5,0.5,8.1
2021-03-02,119,2.4,-0.6,6.8
2021-03-03,119,3.4,-2.1,9.5
2021-03-04,119,6.7,0.4,12.2
2021-03-05,119,7.3,1,16
2021-03-06,119,7,4,12.6
2021-03-07,119,5.7,2.2,10.8
2021-03-08,119,5,-1.2,13.3
2021-03-09,119,5.3,-0.5,11.7
2021-03-10,119,7.2,-0.3,16.8
2021-03-11,119,8.6,1.5,17.3
2021-03-12,119,9.4,6.8,12.9
2021-03-13,119,8.1,2.7,14.2
2021-03-14,119,7.3,1.6,13.4
2021-03-15,119,10,2.3,16.1
2021-03-16,119,7.6,4.5,12.5
2021-03-17,119,7.1,0.5,16.8
2021-03-18,119,9.9,1.2,18.8
2021-03-19,119,13.9,9,19.4
2021-03-20,119,8.8,6,13.5
2021-03-21,119,5.8,3.6,8.9
2021-03-22,119,5.8,1,11.1
2021-03-23,119,8.7,1.5,16.5
2021-03-24,119,9.9,4,17.5
2021-03-25,119,10.5,5.4,18.8
2021-03-26,119,11.9,4.3,21.2
2021-03-27,119,11.5,6.7,15.6
2021-03-28,119,9.4,7.5,13.4
2021-03-29,119,9.8,5.7,15.4
2021-03-30,119,9.6,1.6,18.3
2021-03-31,119,12.6,2.2,22.9
2021-04-01,119,16.8,7.9,23.8
2021-04-02,119,17.5,12.9,22.3
2021-04-03,119,15.4,11.8,18.6
2021-04-04,119,12.2,9.9,15.8
2021-04-05,119,11.3,5.8,18.3
2021-04-06,119,12.1,6.1,18.6
2021-04-07,119,12.4,5,20.3
2021-04-08,119,11.5,4.8,17.5
2021-04-09,119,12.4,4,19
2021-04-10,119,11.7,7.7,17.7
2021-04-11,119,13.9,4.7,22.4
2021-04-12,119,13.5,11.7,17.5
2021-04-13,119,9.4,6,13.4
2021-04-14,119,7.9,3,13.1
2021-04-15,119,10.6,4.3,17.9
2021-04-16,119,10.2,6,14.8
2021-04-17,119,9,3.8,14.1
2021-04-18,119,9.3,5.5,14.3
2021-04-19,119,11.5,4.6,18.6
2021-04-20,119,13.3,5.8,21.4
2021-04-21,119,17.8,7.5,28.6
2021-04-22,119,20.2,14.1,27.6
2021-04-23,119,20.1,16.4,23.1
2021-04-24,119,17.4,12.1,23
2021-04-25,119,17.3,9.2,24.1
2021-04-26,119,15.5,11,21.4
2021-04-27,119,15,9.5,20.1
2021-04-28,119,14.4,11.3,19.2
2021-04-29,119,14.7,10,20.2
2021-04-30,119,10.7,7.9,14.4
2021-05-01,119,10.6,8.6,14.2
2021-05-02,119,11.7,7.8,17.8
2021-05-03,119,13.1,6.3,20.3
2021-05-04,119,15.1,10.1,18.1
2021-05-05,119,13.7,9.8,18.2
2021-05-06,119,15.3,6.2,23.1
2021-05-07,119,13.3,10.1,17.3
2021-05-08,119,13.8,8,21.3
2021-05-09,119,14.3,7.7,21.3
2021-05-10,119,11.8,8.6,14.1
2021-05-11,119,18.2,9.6,24.6
2021-05-12,119,20.5,15.6,27.2
2021-05-13,119,20.9,13.7,29
2021-05-14,119,21.8,15.1,30.4
2021-05-15,119,20.9,18.5,23.2
2021-05-16,119,19.1,15.9,21.2
2021-05-17,119,15.2,13.4,16.3
